"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
5268;495;"84033";"(TAC)SALIDA NISSAN(FACTORIA-C.B?.FORTUNA";434623.675969354;4468839.26622152
5343;495;"87008";"CIRCULO O-E(SAL.CARREFOUR-AV. OROVILLA)";441472.214780012;4468389.93549591
5344;495;"87009";"AV. OROVILLA S-N(UNANIMIDAD-CIRCULO)";441546.239806268;4468340.889812
5345;495;"87010";"(AFO)ROSALES O-E(AV.ANDALUCIA-OROVILLA)";441251.941742641;4469081.13661813
5387;495;"94003";"S. EZEQUIEL NO-SE(V.TOBALINA-REAL PINTO)";439499.107724248;4465232.92871137
5165;495;"98023";"CTRA. DE BOADILLA O-E (AZOR-CARABIAS)";434907.520995194;4472543.57529276
3641;495;"98029";"CT.CARABA.-ARAVACA O-E(M502-SANCHIDRIAN)";434363.293039995;4472365.38256535
5163;495;"98030";"CT.CARABA.-ARAVACA O-E(M502-SANCHIDRIAN)";434396.385378613;4472309.66416237
5161;495;"98032";"(TAC)VILLAVIC.N-S(SEDANO-CT.CARAB-ARAV)";434461.2202104;4472260.23266364
3473;495;"31022";"Alcalde Martmn Alzaga E-O(Aguilar de Campoo-Antonio Machado)";439187.072668873;4479556.32224101
4516;495;"31027";"ALMIRANTE FCO. MORENO S-N(VALLS FERRER-PABLO IGLESIAS)";439506.119390009;4478620.37629385
3920;495;"04014";"Alfonso XIII S-N - Carlos Pereira-Ramon y Caja";443504.285954027;4478280.86130293
3924;495;"04018";"Doctor Arce S-N - Estevez-Pl. Cataluña";442429.442774682;4477882.23167814
4214;495;"14018";"Embajadores N-S - Gta. Embajadores-Moratines";440519.352211291;4473103.57454423
4218;495;"14022";"Pº Acacias E-O - Embajadores-Pº Esperanza";440258.662515017;4473075.86080051
4313;495;"16042";"Cuesta San Vicente O-E - Bailen-Gran Via";439661.351260145;4475089.71369868
5652;495;"62037";"Orense N-S - General Yagüe-Pedro Teixeira";441207.451384537;4478801.88618076
6229;495;"55009";"C/. Moscatelar - Milán-Pl. Liceo";445327.672870628;4478905.60363157
6230;495;"55010";"C/. Silvano - Colegio Liceo-Moscatelar";445539.433191193;4479030.56520504
3688;495;"84015";"AV EURO N-S(REUS-AGUACATE)";437162.214089158;4469142.65554122
5439;495;"43028";"(TACTICO) Santiago de Compostela  E-O - Fco. Llorens-Av.Betanzos";439723.428165022;4481571.78402415
6368;495;"59014";"C/. Hermanos de Pablo - José del Hierro-Virgen del Portillo";445232.215301672;4476856.82085553
6370;495;"59016";"C/. Salvador de Madariaga - Virgen de Lourdees-Esteban Mora";444346.137817778;4476670.95800708
6497;495;"65017";"Fuente Carrantona S-N - José Bergamín-M-23";446782.3629062;4473937.59730902
3929;495;"04024";"Gabriel-Galan S-N - Guerrero Mendoza-Ramon y Cajal";443189.431873844;4478350.51601218
4200;495;"14002";"San Sebastian N-S - Huertas - Atocha";440596.639402905;4474157.84109746
4515;495;"31026";"PABLO IGLESIAS O-E(ALMIRANTE FCO. MORENO-NUMANCIA)";439642.604572241;4478677.29121983
3440;495;"31029";"MORERAS S-N(RAMIRO MAEZTU-JUAN XXIII)";439199.223973658;4478382.28887265
5440;495;"43029";"(TACTICO) Ramón Castroviejo O-E - Pto.Maspalomas-Av.Betanzos";439649.368210723;4481459.42447079
5542;495;"61030";"Av.Pio XII  N-S - Jerez-Macarena";442795.136011394;4479612.38708684
5571;495;"61060";"Pº de la Habana N-S - Honduras -Domingo Fernández";442337.029905434;4479186.58382548
6389;495;"64002";"Av. Canillejas a Vicálvaro - Canal de Bósforo-Néctar";447943.317789078;4477026.12958262
6390;495;"64003";"Av. Canillejas a Vicálvaro - Julián Camarillo-Etruria";448105.090780091;4476639.73360996
4747;495;"24010";"GALLUR E-O(ESCALONILLA-GTA.CARMENES)";437087.005466673;4472147.88872804
9936;495;"87028";"PERIANA N-S(RUTILO-AV. ROSALES)";441744.914848622;4468791.05684798
5402;495;"94021";"V.TOBALINA S-N(REAL PINTO-S.EZEQUIEL)";439339.366978563;4465149.856344
7103;495;"30031";"SEGOVIA 65, E-O (RONDA SEGOVIA - P: VIRGEN DEL PUERTO)";439108.167938966;4474158.99138394
4326;495;"30032";"P: VIRGEN DEL PUERTO, 13 S-N(MANZANARES-SEGOVIA)";438924.992529197;4474047.87888007
4327;495;"30033";"PUENTE SEGOVIA O-E(P: EXTREMADURA -P: VIRGEN DEL PUERTO)";438775.007175741;4474163.11388683
